Gene ID	1b88b184	49d1b763	4588e050	1f9d6213	7ec9e97b	410fd6eb	826d37cd	3e69ca1f	bae3bd60
ENSG00000000003.10	261	2	2	31	3	0	15	0	18
ENSG00000000005.5	1	0	0	2	2	0	0	0	0
ENSG00000000419.8	556	482	569	505	725	680	663	1074	1103
ENSG00000000457.9	891	760	710	673	641	1052	1227	261	811
ENSG00000000460.12	1095	575	352	544	429	517	649	300	711
ENSG00000000938.8	1067	1092	18589	7359	1701	203	1515	69	5942
ENSG00000000971.11	2005	1724	87	190	45	16	86	40	464
ENSG00000001036.9	791	1098	1077	1273	741	89	900	618	2232
ENSG00000001084.6	2979	628	1128	1684	1373	2419	1906	745	2243
